spice id,性別,年齢,発言回数,iQOS歴,LINE登録,LINE歴,ユーザーからの入力,判定,投稿日付,時間24H,確信度,リカバリ,Intents番号,Watson回答,回答日時
515098060,M,22,1,1,2018/2/7 21:56,1,無くした場合は？,OK,2018/2/7 21:59,21,,,紛失,カスタマーセンター、をお探しでしょうかいますぐお問い合わせしたい方にはチャット（自動応答）でのお問い合わせがおすすめです。下のメニュー「マイサポートにアクセス」をタップして「IQOSサポート」にてお問い合わせをお願いします。IQOSphereに関することであれば、頑張ってお答えします。,2018/2/7 21:59
514995974,M,58,1,1,2018/1/25 8:36,1,味かしなくなった,入力ミス,2018/2/7 12:09,12,,,紛失,カスタマーセンター、をお探しでしょうかいますぐお問い合わせしたい方にはチャット（自動応答）でのお問い合わせがおすすめです。下のメニュー「マイサポートにアクセス」をタップして「IQOSサポート」にてお問い合わせをお願いします。IQOSphereに関することであれば、頑張ってお答えします。,2018/2/7 12:09
514302014,M,34,1,4,2017/10/30 18:13,4,紛失,OK,2018/2/6 8:24,8,,,紛失,カスタマーセンター、をお探しでしょうかいますぐお問い合わせしたい方にはチャット（自動応答）でのお問い合わせがおすすめです。下のメニュー「マイサポートにアクセス」をタップして「IQOSサポート」にてお問い合わせをお願いします。IQOSphereに関することであれば、頑張ってお答えします。,2018/2/6 8:24
512989215,M,29,4,7,2018/1/13 19:11,1,紛失,OK,2018/2/6 22:59,22,,,紛失,カスタマーセンター、をお探しでしょうかいますぐお問い合わせしたい方にはチャット（自動応答）でのお問い合わせがおすすめです。下のメニュー「マイサポートにアクセス」をタップして「IQOSサポート」にてお問い合わせをお願いします。IQOSphereに関することであれば、頑張ってお答えします。,2018/2/6 22:59
512084260,M,37,1,8,2018/2/2 20:06,1,紛失,OK,2018/2/7 22:40,22,,,紛失,カスタマーセンター、をお探しでしょうかいますぐお問い合わせしたい方にはチャット（自動応答）でのお問い合わせがおすすめです。下のメニュー「マイサポートにアクセス」をタップして「IQOSサポート」にてお問い合わせをお願いします。IQOSphereに関することであれば、頑張ってお答えします。,2018/2/7 22:40
513647320,F,41,2,5,2017/9/11 22:35,5,失くした,OK,2018/2/7 18:29,18,,,紛失,カスタマーセンター、をお探しでしょうかいますぐお問い合わせしたい方にはチャット（自動応答）でのお問い合わせがおすすめです。下のメニュー「マイサポートにアクセス」をタップして「IQOSサポート」にてお問い合わせをお願いします。IQOSphereに関することであれば、頑張ってお答えします。,2018/2/7 18:29
7974158,M,28,1,23,2017/12/7 0:14,3,ホルダー無くした,OK,2018/2/7 14:12,14,,,紛失,カスタマーセンター、をお探しでしょうかいますぐお問い合わせしたい方にはチャット（自動応答）でのお問い合わせがおすすめです。下のメニュー「マイサポートにアクセス」をタップして「IQOSサポート」にてお問い合わせをお願いします。IQOSphereに関することであれば、頑張ってお答えします。,2018/2/7 14:12
513647320,F,41,2,5,2017/9/11 22:35,5,IQOS紛失,OK,2018/2/7 18:29,18,,,紛失,カスタマーセンター、をお探しでしょうかいますぐお問い合わせしたい方にはチャット（自動応答）でのお問い合わせがおすすめです。下のメニュー「マイサポートにアクセス」をタップして「IQOSサポート」にてお問い合わせをお願いします。IQOSphereに関することであれば、頑張ってお答えします。,2018/2/7 18:29
508319007,F,59,9,13,2017/6/16 12:33,6,此方のモノです,対応不要会話,2018/2/7 17:54,17,1,,誕生日_仮,メッセージいただき、ありがとうございます。いただきました内容について、今は答えを持ち合わせておりません。。。もっと学習していきますので、また話しかけていただけるとうれしいです♪もし、IQOSが楽しめるSPOT/お店をお探しの場合は、画面下の「メニューはこちら」の「IQOSライフを知る・楽しむ」を押して「IQOSが使える場所」からタップして検索できますよ！,2018/2/7 17:54
515098098,M,24,5,1,2018/2/7 22:01,1,退会,OK,2018/2/7 22:10,22,,,退会,退会について、アカウントの削除を希望する際は下記にご連絡ください。※メニューの「マイサポート」から「お問い合わせ」にご連絡をお願いします。,2018/2/7 22:10
