spice id,性別,年齢,発言回数,iQOS歴,LINE登録,LINE歴,ユーザーからの入力,判定,投稿日付,時間24H,確信度,リカバリ,カテゴリ,FSS,Intents番号,Watson回答,回答日時
8279557,M,42,2,27,2017/6/16 21:21,6,保証期間外は購入するしかないのでしょうか？,対応不要会話,2018/7/3 13:59,13,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/3 13:59
516095956,M,39,1,1,2018/7/4 21:23,1,保証期間は一年になってます？,OK,2018/7/4 21:34,21,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/4 21:34
4730293,M,25,23,34,2018/1/30 14:59,6,保証期間の確認,インナーテスト,2018/7/2 20:23,20,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/2 20:23
513624454,F,44,2,10,2017/9/9 22:10,6,保証期間,OK,2018/7/3 8:23,8,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/3 8:23
509461921,M,35,1,16,2017/10/6 23:09,6,保証期間,OK,2018/7/3 17:54,17,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/3 17:54
508717001,F,40,1,17,2017/6/15 13:43,6,保証期間,OK,2018/7/4 22:54,22,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/4 22:54
6487868,F,42,3,31,2017/9/12 20:40,6,バックコードの保存期間,OK,2018/7/3 22:59,22,,,,0,保証期間知りたい,パックコードについて、ですね？たばこスティック購入で得られるパックコード。（フタ裏部分）LINE内メニューの「パックコードを貯める／応募」をタップ後、トーク画面から簡単に貯めることができますさらに、貯めたパックコードで、あなたのIQOSライフを充実させるアイテムや賞品が手に入るチャンスもありますパックコードは捨てずにぜひ入力しましょう！※パックコードのポイント有効期限は、入力した日から翌年の同月末までとなります。,2018/7/3 22:59
8780341,M,52,1,26,2017/6/13 12:44,6,IQOS購入後故障が多い人だけスティクのサービスがあり、購入して保証期間スレスレの人にスティクの保証が無いのはどうなの？,対応不要会話,2018/7/4 20:49,20,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/4 20:49
516086555,F,47,3,1,2018/7/2 13:43,1,６月２９日に購入したので、保証期間は、一年間有効でしょうか？,対応不要会話,2018/7/3 8:30,8,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/3 8:30
516043524,M,21,2,1,2018/6/22 12:40,1,紛失,OK,2018/7/3 22:02,22,,,User support,0,紛失,カスタマーセンター、をお探しでしょうか？お問い合わせは、以下URLのチャット（自動応答）にてお願いいたしますhttps://goo.gl/gBa3DW私が回答できるかもしれませんので、よろしければ、ここで引き続き話しかけてみてくださいね,2018/7/3 22:02
