ß,性別,年齢,発言回数,iQOS歴,LINE登録,LINE歴,ユーザーからの入力,判定,投稿日付,時間24H,確信度,リカバリ,カテゴリ,FSS,Intents番号,Watson回答,回答日時
511909291,F,43,1,13,2018/7/8 16:10,1,保証期間内で交換したホルダーが製品登録されているか知りたいです。,対応不要会話,2018/7/8 16:30,16,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/8 16:30
12700238,M,28,4,19,2017/7/14 9:23,6,保証期間終わったら修理出来ないんですか？,対応不要会話,2018/7/5 9:59,9,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/5 9:59
508826135,F,30,4,17,2018/3/18 15:18,4,保証期間過ぎ,OK,2018/7/6 23:24,23,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/6 23:24
516105211,M,58,1,1,2018/7/6 22:36,1,保証期間延長,OK,2018/7/6 22:40,22,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/6 22:40
514532708,M,39,1,8,2017/11/23 14:10,6,保証期間を知りたいです,OK,2018/7/8 8:58,8,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/8 8:58
516116304,M,26,6,1,2018/7/8 16:19,1,保証期間は延長されてますか？,OK,2018/7/8 16:25,16,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/8 16:25
3685882,M,56,5,91,2018/7/6 10:20,1,保証期間が過ぎてダメです,対応不要会話,2018/7/6 12:42,12,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/6 12:42
512092451,F,36,1,13,2017/7/1 19:59,6,保証期間いつまで,OK,2018/7/5 12:43,12,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/5 12:43
8623091,M,26,1,27,2017/12/6 20:47,6,保証期間,OK,2018/7/5 20:22,20,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/5 20:22
516095177,M,25,1,1,2018/7/7 20:52,1,保証期間,OK,2018/7/7 21:10,21,,,,0,保証期間知りたい,IOQSキットの保証期間の確認について、ですね？基本的な保証期間はデバイスを購入された日から6か月間ですIQOS.jpへの会員登録と、ご購入されたIQOS本体の製品登録を行っていただく事により、ご購入いただいた本体の保証期間を1年間に延長する事が可能です♪製品登録は、「マイサポート」＞「製品登録」より、お願いいたします尚、ご自身の保証期間を確認したい場合は、お手数ですが、以下チャットよりお問い合わせくださいhttps://goo.gl/gBa3DW,2018/7/7 21:10
